IUCR,PRIMARY_DESCRIPTION,SECONDARY_DESCRIPTION
1025,ARSON,AGGRAVATED
1090,ARSON,ATTEMPT ARSON
1010,ARSON,BY EXPLOSIVE
1020,ARSON,BY FIRE
1035,ARSON,POS: CHEMICAL/DRY-ICE DEVICE
1030,ARSON,POS: EXPLOSIVE/INCENDIARY DEV
0554,ASSAULT,AGG PO HANDS NO/MIN INJURY
0555,ASSAULT,AGG PRO.EMP: HANDGUN
0558,ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON
0556,ASSAULT,AGG PRO.EMP: OTHER FIREARM
0557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST
0550,ASSAULT,AGGRAVATED PO: HANDGUN
0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP
0551,ASSAULT,AGGRAVATED PO: OTHER FIREARM
0552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR
051A,ASSAULT,AGGRAVATED: HANDGUN
0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON
051B,ASSAULT,AGGRAVATED: OTHER FIREARM
0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR
0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY
0560,ASSAULT,SIMPLE
0461,BATTERY,AGG PO HANDS ETC SERIOUS INJ
0454,BATTERY,AGG PO HANDS NO/MIN INJURY
0462,BATTERY,AGG PRO EMP HANDS SERIOUS INJ
0480,BATTERY,AGG PRO.EMP: HANDGUN
0483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON
0481,BATTERY,AGG PRO.EMP: OTHER FIREARM
0482,BATTERY,AGG PRO.EMP:KNIFE/CUTTING INST
0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY
0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY
0499,BATTERY,AGGRAVATED DOMESTIC BATTERY
0488,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDGUN
0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY
0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST
0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON
0489,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM
0485,BATTERY,AGGRAVATED OF A CHILD
0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN
0487,BATTERY,AGGRAVATED OF A UNBORN CHILD
0450,BATTERY,AGGRAVATED PO: HANDGUN
0452,BATTERY,AGGRAVATED PO: KNIFE/CUT INSTR
0453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP
0451,BATTERY,AGGRAVATED PO: OTHER FIREARM
041A,BATTERY,AGGRAVATED: HANDGUN
0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON
041B,BATTERY,AGGRAVATED: OTHER FIREARM
0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR
0486,BATTERY,DOMESTIC BATTERY SIMPLE
0475,BATTERY,OF UNBORN CHILD
0484,BATTERY,PRO EMP HANDS NO/MIN INJURY
0460,BATTERY,SIMPLE
0630,BURGLARY,ATTEMPT FORCIBLE ENTRY
0610,BURGLARY,FORCIBLE ENTRY
0650,BURGLARY,HOME INVASION
0620,BURGLARY,UNLAWFUL ENTRY
1479,CONCEALED CARRY LICENSE VIOLATION,ARMED WHILE UNDER THE INFLUENCE
1480,CONCEALED CARRY LICENSE VIOLATION,OTHER
1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES
0261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN
0263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR
0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER
0264,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON
0262,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER FIREARM
0271,CRIM SEXUAL ASSAULT,ATTEMPT AGG: HANDGUN
0273,CRIM SEXUAL ASSAULT,ATTEMPT AGG: KNIFE/CUT INSTR
0275,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER
0274,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER DANG WEAPON
0272,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER FIREARM
0291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED
0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED
0266,CRIM SEXUAL ASSAULT,PREDATORY
2500,CRIMINAL ABORTION,CRIMINAL ABORTION
1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT
1375,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM
1265,CRIMINAL DAMAGE,LIBRARY VANDALISM
1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY
1370,CRIMINAL DAMAGE,TO FIRE FIGHT.APP.EQUIP
1310,CRIMINAL DAMAGE,TO PROPERTY
1340,CRIMINAL DAMAGE,TO STATE SUP PROP
1320,CRIMINAL DAMAGE,TO VEHICLE
1335,CRIMINAL TRESPASS,TO AIRPORT
1330,CRIMINAL TRESPASS,TO LAND
1365,CRIMINAL TRESPASS,TO RESIDENCE
1350,CRIMINAL TRESPASS,TO STATE SUP LAND
1360,CRIMINAL TRESPASS,TO VEHICLE
1241,DECEPTIVE PRACTICE,AGGRAVATED COMPUTER TAMPERING
1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT
1160,DECEPTIVE PRACTICE,ALTER COINS
1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT
1110,DECEPTIVE PRACTICE,BOGUS CHECK
1242,DECEPTIVE PRACTICE,COMPUTER FRAUD
1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK
1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT
1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD
1185,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES
1140,DECEPTIVE PRACTICE,EMBEZZLEMENT
1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED
1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER
1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300
1120,DECEPTIVE PRACTICE,FORGERY
1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME
1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD
1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD
1170,DECEPTIVE PRACTICE,IMPERSONATION
1135,DECEPTIVE PRACTICE,INSURANCE FRAUD
1260,DECEPTIVE PRACTICE,LIBRARY THEFT
1245,DECEPTIVE PRACTICE,PAY TV SERVICE OFFENSES
1230,DECEPTIVE PRACTICE,POSS. KEYS OR DEV.TO COIN MACH
1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.
1206,DECEPTIVE PRACTICE,THEFT BY LESSEE MOTOR VEH
1205,DECEPTIVE PRACTICE,THEFT BY LESSEE NON-VEH
1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES
1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP
1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING
1255,DECEPTIVE PRACTICE,UNIDENTIFIABLE RECORDING SOUND
1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER
1235,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND
1620,GAMBLING,BOLITA OR BOLI PUL/OFFICE
1621,GAMBLING,BOLITA OR BOLI PUL/RUNNER
1623,GAMBLING,BOLITA OR BOLI PUL/STATION
1622,GAMBLING,BOLITA OR BOLI PUL/WRITER
1610,GAMBLING,BOOKMAKING/HORSES
1611,GAMBLING,BOOKMAKING/SPORTS
1670,GAMBLING,GAME/AMUSEMENT DEVICE
1651,GAMBLING,GAME/CARDS
1661,GAMBLING,GAME/DICE
1626,GAMBLING,ILLEGAL ILL LOTTERY
1627,GAMBLING,LOTTERY/OTHER
1624,GAMBLING,LOTTERY/PARI-MUTUEL
1681,GAMBLING,LOTTERY/PARLAY CARDS
1625,GAMBLING,NATIONAL LOTTERY
1680,GAMBLING,OTHER
1690,GAMBLING,POLICY/HOUSEBOOK
1694,GAMBLING,POLICY/OFFICE
1697,GAMBLING,POLICY/OTHER
1695,GAMBLING,POLICY/PRESS
1692,GAMBLING,POLICY/RUNNER
1691,GAMBLING,POLICY/STATION
1693,GAMBLING,POLICY/TURN-IN
1696,GAMBLING,POLICY/WHEEL
1640,GAMBLING,REGISTER FED GAMBLING STAMP
1633,GAMBLING,SPORTS TAMPERING
1650,GAMBLING,VIOL CHARITABLE GAME ACT
1630,GAMBLING,WIREROOM/HORSES
1632,GAMBLING,WIREROOM/NUMBERS
1631,GAMBLING,WIREROOM/SPORTS
0110,HOMICIDE,FIRST DEGREE MURDER
0141,HOMICIDE,INVOLUNTARY MANSLAUGHTER
0142,HOMICIDE,RECKLESS HOMICIDE
0130,HOMICIDE,SECOND DEGREE MURDER
1050,HUMAN TRAFFICKING,COMMERCIAL SEX ACTS
1055,HUMAN TRAFFICKING,INVOLUNTARY SERVITUDE
3751,INTERFERENCE WITH PUBLIC OFFICER,AIDING ARRESTEE ESCAPE
3910,INTERFERENCE WITH PUBLIC OFFICER,BRIBERY
3740,INTERFERENCE WITH PUBLIC OFFICER,CONCEALING/AIDING A FUGITIVE
3770,INTERFERENCE WITH PUBLIC OFFICER,CONTRABAND IN PRISON
3750,INTERFERENCE WITH PUBLIC OFFICER,ESCAPE
3800,INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS
3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION
3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE
3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE
3920,INTERFERENCE WITH PUBLIC OFFICER,OFFICIAL MISCONDUCT
3720,INTERFERENCE WITH PUBLIC OFFICER,REFUSING TO AID AN OFFICER
3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER
3980,INTIMIDATION,COMPELLING CONFESSION
3975,INTIMIDATION,COMPELLING ORG MEMBERSHIP
3966,INTIMIDATION,EDUCATIONAL INTIMIDAITON
3970,INTIMIDATION,EXTORTION
3960,INTIMIDATION,INTIMIDATION
4220,KIDNAPPING,AGGRAVATED
1792,KIDNAPPING,CHILD ABDUCTION/STRANGER
4240,KIDNAPPING,FORCIBLE DETENTION
4210,KIDNAPPING,KIDNAPPING
4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION
4230,KIDNAPPING,UNLAWFUL RESTRAINT
2251,LIQUOR LAW VIOLATION,EMPLOY MINOR
2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR
2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR
2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION
2240,LIQUOR LAW VIOLATION,MINOR MISREPRESENT AGE
2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR
0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE
0925,MOTOR VEHICLE THEFT,ATT: TRUCK; BUS; MOTOR HOME
0928,MOTOR VEHICLE THEFT,ATTEMPT: CYCLE; SCOOTER; BIKE NO VIN
0927,MOTOR VEHICLE THEFT,ATTEMPT: CYCLE; SCOOTER; BIKE W-VIN
0910,MOTOR VEHICLE THEFT,AUTOMOBILE
0918,MOTOR VEHICLE THEFT,CYCLE; SCOOTER; BIKE NO VIN
0917,MOTOR VEHICLE THEFT,CYCLE; SCOOTER; BIKE W-VIN
